,Unnamed: 0,index,name,label,dataset,is_valid
0,10330,252535,bccd/LYMPHOCYTE/_14_8167.jpeg,lymphocyte,bccd,False
1,11271,253476,bccd/LYMPHOCYTE/_16_8007.jpeg,lymphocyte,bccd,False
2,10172,252377,bccd/LYMPHOCYTE/_20_3960.jpeg,lymphocyte,bccd,False
3,12485,254690,bccd/LYMPHOCYTE/_4_2965.jpeg,lymphocyte,bccd,False
4,10500,252705,bccd/LYMPHOCYTE/_2_2521.jpeg,lymphocyte,bccd,False
5,9978,252183,bccd/LYMPHOCYTE/_0_3962.jpeg,lymphocyte,bccd,False
6,9709,251914,bccd/LYMPHOCYTE/_6_3492.jpeg,lymphocyte,bccd,False
7,9434,251639,bccd/LYMPHOCYTE/_9_4052.jpeg,lymphocyte,bccd,False
8,9802,252007,bccd/LYMPHOCYTE/_5_1029.jpeg,lymphocyte,bccd,False
9,10168,252373,bccd/LYMPHOCYTE/_4_7981.jpeg,lymphocyte,bccd,False
10,10248,252453,bccd/LYMPHOCYTE/_2_3472.jpeg,lymphocyte,bccd,False
11,10190,252395,bccd/LYMPHOCYTE/_8_9833.jpeg,lymphocyte,bccd,False
12,9566,251771,bccd/LYMPHOCYTE/_4_3568.jpeg,lymphocyte,bccd,False
13,10985,253190,bccd/LYMPHOCYTE/_21_8405.jpeg,lymphocyte,bccd,False
14,10849,253054,bccd/LYMPHOCYTE/_2_9591.jpeg,lymphocyte,bccd,False
15,10815,253020,bccd/LYMPHOCYTE/_18_9957.jpeg,lymphocyte,bccd,False
16,10586,252791,bccd/LYMPHOCYTE/_4_6597.jpeg,lymphocyte,bccd,False
17,12029,254234,bccd/LYMPHOCYTE/_12_5069.jpeg,lymphocyte,bccd,False
18,12293,254498,bccd/LYMPHOCYTE/_19_573.jpeg,lymphocyte,bccd,False
19,9741,251946,bccd/LYMPHOCYTE/_1_5127.jpeg,lymphocyte,bccd,False
20,10847,253052,bccd/LYMPHOCYTE/_20_2761.jpeg,lymphocyte,bccd,False
21,11984,254189,bccd/LYMPHOCYTE/_1_3475.jpeg,lymphocyte,bccd,False
22,9441,251646,bccd/LYMPHOCYTE/_24_7395.jpeg,lymphocyte,bccd,False
23,9490,251695,bccd/LYMPHOCYTE/_3_1920.jpeg,lymphocyte,bccd,False
24,10448,252653,bccd/LYMPHOCYTE/_26_8520.jpeg,lymphocyte,bccd,False
25,372,242577,bccd/NEUTROPHIL/_127_6434.jpeg,neutrophil,bccd,False
26,1199,243404,bccd/NEUTROPHIL/_90_5348.jpeg,neutrophil,bccd,False
27,1311,243516,bccd/NEUTROPHIL/_43_6796.jpeg,neutrophil,bccd,False
28,2596,244801,bccd/NEUTROPHIL/_121_4221.jpeg,neutrophil,bccd,False
29,675,242880,bccd/NEUTROPHIL/_67_897.jpeg,neutrophil,bccd,False
30,1398,243603,bccd/NEUTROPHIL/_33_9198.jpeg,neutrophil,bccd,False
31,1931,244136,bccd/NEUTROPHIL/_47_8902.jpeg,neutrophil,bccd,False
32,769,242974,bccd/NEUTROPHIL/_3_9026.jpeg,neutrophil,bccd,False
33,439,242644,bccd/NEUTROPHIL/_112_2453.jpeg,neutrophil,bccd,False
34,1318,243523,bccd/NEUTROPHIL/_87_6959.jpeg,neutrophil,bccd,False
35,2635,244840,bccd/NEUTROPHIL/_56_4271.jpeg,neutrophil,bccd,False
36,258,242463,bccd/NEUTROPHIL/_75_3149.jpeg,neutrophil,bccd,False
37,3057,245262,bccd/NEUTROPHIL/_126_715.jpeg,neutrophil,bccd,False
38,2047,244252,bccd/NEUTROPHIL/_92_1830.jpeg,neutrophil,bccd,False
